Rank,Film,Description
101,Memento,A man with memory issues uses an unconventional organizational system to stay on track with a personal project.
102,Raiders of the Lost Ark,A professor travels abroad for work and races a competitor to acquire a historical artifact.
103,Star Wars: Return of the Jedi,Friends stage an intervention for a family member who's fallen in with a bad crowd.
104,Dune: Part Two,A newcomer embraces local customs and gets involved in regional politics.
105,Up,"A retiree finally takes a trip he'd been putting off, accompanied by an uninvited guest."
106,Heat,Two dedicated professionals develop mutual respect while working on opposite sides of a situation.
107,Die Hard,A man visits his estranged wife's workplace during the holidays and the evening takes an unexpected turn.
108,Snatch,Various parties become interested in acquiring a small valuable item.
109,The Father,An elderly man becomes confused about his living arrangements as his daughter tries to help.
110,Bicycle Thieves,A man and his son spend the day searching for something essential to his new job.
111,The Sting,Two associates collaborate on an elaborate project to settle a score.
112,Full Metal Jacket,Young men go through intensive training and then begin their first assignment.
113,Gran Torino,A retiree reluctantly becomes involved with his neighbors and grows protective of them.
114,Metropolis,"Workers in a divided city grow restless, and a young woman becomes a symbol of change."
115,Unforgiven,A retired professional accepts one last job to support his family.
116,Downfall,Leadership manages operations from a secure location as their organization collapses around them.
117,Some Like It Hot,Two musicians join a touring group to avoid trouble and one develops romantic complications.
118,All About Eve,An ambitious newcomer befriends an established professional in her field.
119,Pan's Labyrinth,A girl retreats into imagination while adjusting to a difficult new home situation.
120,The Bridge on the River Kwai,Workers on a construction project become invested in its quality despite difficult circumstances.
121,The Wolf of Wall Street,An ambitious professional builds a successful firm through aggressive tactics.
122,Rashomon,Witnesses provide conflicting accounts of an incident.
123,Raging Bull,A man's career and relationships both suffer from his temperament.
124,The Third Man,A writer visits a foreign city to see a friend and investigates when things seem off.
125,Fargo,A man's scheme involving his wife spirals out of control as a local official investigates.
126,Blade Runner,A specialist is assigned to locate several individuals who've returned without authorization.
127,Monty Python and the Holy Grail,A group embarks on a quest and encounters various eccentric obstacles.
128,Chinatown,An investigator takes a routine case that leads to something much larger.
129,The Truman Show,A man begins to suspect his cheerful community isn't what it seems.
130,Howl's Moving Castle,A young woman with a condition finds refuge with a reclusive eccentric.
131,Kill Bill: Vol. 1,A woman wakes from a long rest with a list of former colleagues to visit.
132,The Elephant Man,A doctor takes an interest in a man whose condition has led to a difficult life.
133,Dial M for Murder,A man makes elaborate plans regarding his wife after an unwelcome discovery.
134,Spotlight,A team investigates institutional misconduct that the community has long overlooked.
135,The Sixth Sense,A professional works with a young client who claims to have unusual perceptions.
136,Gone Girl,A man's life becomes complicated when his wife disappears and suspicion falls on him.
137,Casino,A professional oversees a major operation that gradually unravels due to personal complications.
138,Wild Tales,Several unrelated people reach their breaking points in various situations.
139,Slumdog Millionaire,A young man from a poor background does unexpectedly well on a quiz program.
140,No Country for Old Men,A man finds something valuable in a remote area and various parties want it back.
141,Shutter Island,Officials visit a remote facility to investigate a missing person case and encounter complications.
142,A Beautiful Mind,A brilliant academic struggles with personal challenges while making contributions to his field.
143,The Secret in Their Eyes,A retired official revisits an old case that has stayed with him.
144,The Thing,A remote team's trust in each other breaks down after an outside discovery.
145,The Great Escape,Residents of a facility work together on an ambitious exit strategy.
146,On the Waterfront,A worker struggles with whether to speak up about problems in his organization.
147,The Treasure of the Sierra Madre,Partners searching for valuable resources find their trust tested.
148,Room,A mother and child adjust to a major change in their living situation.
149,Sicario,An agent joins a task force and becomes uncomfortable with their operational methods.
150,Inside Out,A girl's internal committee struggles to help her adjust after relocating.
151,My Neighbor Totoro,Two sisters move to the countryside and make friends with the local wildlife.
152,Incendies,Twins travel abroad to learn about their mother's past.
153,For a Few Dollars More,Two professionals form an uneasy partnership while pursuing the same target.
154,There Will Be Blood,An ambitious man builds a business extracting resources and clashes with a local religious figure.
155,The Big Lebowski,A laid-back man is mistaken for someone else and gets drawn into a complicated situation.
156,V for Vendetta,A masked individual inspires resistance against an oppressive government.
157,L.A. Confidential,Officers investigate crimes and uncover problems within their own department.
158,Warrior,Two estranged brothers end up competing in the same tournament.
159,12 Years a Slave,A free man is taken from his home and must endure terrible conditions while hoping for rescue.
160,The Grand Budapest Hotel,A hotel employee and his protégé become involved in a dispute over an inheritance.
161,Yojimbo,A skilled wanderer arrives in a divided town and plays the factions against each other.
162,Prisoners,A father takes matters into his own hands when his daughter goes missing.
163,Mad Max: Fury Road,A group flees across difficult terrain with a determined pursuer close behind.
164,The Deer Hunter,Friends from a small town are changed by their experiences abroad.
165,Harry Potter and the Deathly Hallows Part 2,Students and staff defend their institution during a final confrontation.
166,Catch Me If You Can,A young man successfully impersonates various professionals while someone tries to catch him.
167,Ford v Ferrari,A team works to build something that can compete at the highest level.
168,Ran,An aging leader divides his domain among his children with disastrous results.
169,Marriage Story,A couple navigates separating while trying to do right by their child.
170,Children of Men,"In a bleak future, a man helps transport someone important to safety."
171,The Gold Rush,A man endures hardship while searching for fortune in a remote region.
172,Persona,A caretaker and her non-speaking patient develop a complex relationship.
173,Cool Hand Luke,A nonconformist struggles against authority at a rural facility.
174,Logan,An aging caretaker goes on a road trip to help a young girl reach safety.
175,Klaus,A worker assigned to a remote town forms an unlikely partnership with a reclusive craftsman.
176,Before Sunrise,Two strangers meet on a train and spend a night walking around a city.
177,Trainspotting,A group of friends struggle with destructive habits.
178,Memories of Murder,Investigators in a rural area work a difficult case with limited resources.
179,Network,A news personality has an on-air breakdown and becomes unexpectedly popular.
180,The Wild Bunch,Aging professionals plan one last job as their way of life disappears.
181,Pather Panchali,A poor family struggles through hardship while their children grow up.
182,In the Mood for Love,Two neighbors suspect their spouses are having an affair and grow closer themselves.
183,The Princess Bride,A grandfather reads his grandson a story with adventure and romance.
184,Stand by Me,Four boys go on a hike to find something they heard about.
185,Jaws,A coastal town's busy season is disrupted by an aggressive local.
186,Aladdin,A young man from humble origins uses a lucky find to reinvent himself.
187,The Handmaiden,A woman hired for a scheme develops complicated feelings for her target.
188,Million Dollar Baby,A trainer reluctantly takes on a determined new client.
189,Ben-Hur,A man is betrayed by a childhood friend and works his way back to confront him.
190,Barry Lyndon,An ambitious man climbs socially through charm and opportunism.
191,"Monsters, Inc.",Coworkers at an energy company have their worldview changed by a small visitor.
192,Ratatouille,An unlikely candidate pursues his passion in a prestigious kitchen.
193,The Wages of Fear,Desperate men take a dangerous transport job.
194,1917,Two men are sent to deliver an urgent message across difficult terrain.
195,How to Train Your Dragon,A young outcast befriends one of his community's traditional enemies.
196,True Grit,A determined young woman hires a rough professional to help pursue someone.
197,Rebecca,A new bride feels overshadowed by her husband's first wife.
198,Jurassic Park,Visitors to a new attraction encounter unexpected problems.
199,Hachi: A Dog's Tale,A loyal pet waits for his owner at their usual meeting spot.
200,Life of Brian,A man born at an inconvenient time and place is repeatedly mistaken for someone important.
201,The Circus,A man accidentally joins a traveling show and becomes its main attraction.
202,A Separation,A couple's divorce becomes complicated by an incident with their housekeeper.
203,The Terminator,A woman is persistently pursued by a stranger while a protector tries to help her.
204,Capernaum,A young boy takes legal action against his parents for his difficult upbringing.
205,The Seventh Seal,A man returning from abroad plays a game with a persistent stranger while seeking answers.
206,Tokyo Story,Elderly parents visit their busy adult children in the city.
207,Scarface,An immigrant rises quickly in his adopted country through ambition and aggression.
208,Dog Day Afternoon,A man's attempt to get money for someone he cares about becomes a prolonged standoff.
209,Hotel Rwanda,A hotel manager protects guests during a period of extreme danger.
210,Soul,A musician gets a chance at his big break but must first navigate an unexpected detour.
211,Rush,Two rivals push each other to their limits over several competitive seasons.
212,Amores Perros,Three stories connected by an accident explore love and loss.
213,"Paris, Texas",A man emerges from isolation and tries to reconnect with his family.
214,Rocky,A small-time competitor gets an unexpected shot at the top.
215,Platoon,A young man's idealism is tested during his time overseas.
216,Before Sunset,Two people who spent time together years ago unexpectedly reunite.
217,Infernal Affairs,Two men lead double lives as each organization tries to identify the other's insider.
218,Hacksaw Ridge,A man serves alongside others while refusing to carry the standard equipment.
219,The 400 Blows,A troubled boy acts out as his home life deteriorates.
220,The Exorcist,A mother seeks help when her daughter begins behaving strangely.
221,It Happened One Night,A runaway and a journalist travel together and develop unexpected feelings.
222,A Silent Voice,A young man seeks to make amends with someone he mistreated years ago.
223,Dangal,A father trains his daughters to compete at the highest level in their field.
224,To Be or Not to Be,A theater group in occupied territory uses their skills to help the resistance.
225,Wild Strawberries,An elderly man reflects on his life during a trip to receive an honor.
226,Stalker,A guide leads two men into a restricted area where wishes supposedly come true.
227,The General,A man pursues his stolen vehicle into hostile territory.
228,Witness for the Prosecution,A lawyer takes a case with an unexpected twist.
229,Andrei Rublev,An artist observes life and struggles with his craft during turbulent times.
230,La La Land,Two aspiring artists fall in love while pursuing their dreams.
231,Sherlock Jr.,A worker dreams himself into the entertainment he's watching.
232,The Kid,A man raises an abandoned child and they develop a partnership.
233,Touch of Evil,A trip is disrupted when someone investigates a crime at the border.
234,Rang De Basanti,Students making a documentary become inspired to take real action.
235,The Iron Giant,A boy befriends something large that fell from the sky and tries to protect it.
236,Nights of Cabiria,A woman with an optimistic spirit faces repeated disappointments in love.
237,Gandhi,A professional uses nonviolent methods to lead a movement for change.
238,3 Idiots,Friends reunite to find a missing classmate while reflecting on their student days.
239,Come and See,A boy joins a group of fighters and witnesses the horrors of occupation.
240,The Battle of Algiers,Resistance fighters clash with authorities in an urban setting.
241,In the Name of the Father,A man and his parent are wrongly imprisoned and fight for release.
242,Nausicaä of the Valley of the Wind,A leader tries to prevent conflict between her people and a neighboring power.
243,Fanny and Alexander,Children in a wealthy family experience upheaval when their mother remarries.
244,The Best Years of Our Lives,Men adjust to civilian life after returning home.
245,The Passion of Joan of Arc,A young woman is tried for her beliefs.
246,Dersu Uzala,A surveyor forms a lasting friendship with his local guide.
247,Throne of Blood,A warrior is told he will rise to power and makes choices to fulfill the prophecy.
248,Marty Supreme,A determined athlete pursues excellence in a competitive individual sport.
249,Chainsaw Man: The Movie,A young man with an unusual job confronts increasingly dangerous assignments.
250,Top Gun: Maverick,A veteran returns to train a new generation and confronts unfinished business.
